converged,filling_factor,fuel_average_temp:value,kernel_radius,moderator_average_temp:value,pebble_surface_temp,porous_media_power_density
True,0.0698626242359,2311.171847819,0.0001673973693347,2192.6161826323,2070.7814090833,23213388.791191
True,0.12368727097125,2267.5457892291,0.00018586180898892,2196.3242972976,2103.7558861266,17126444.824561
True,0.16644235779081,1608.0771118865,0.00027548385376645,1453.4767281516,1212.4451823873,36443197.879297
True,0.059479422260607,1840.284362633,0.00029751081478679,1802.8267500321,1766.9169956427,6879480.5682767
True,0.18072600000387,1147.7454204073,0.00016191239945549,961.67908296768,647.64106377183,29695866.323842
True,0.081143994865968,1880.1708244915,0.0002090472773375,1752.8779311916,1611.351771171,26803504.107992
True,0.13777372842424,1170.2989360913,0.00025666998565563,1087.7805056037,958.83573949332,13768729.954606
True,0.19019326641494,1074.0160577259,0.00023338724891091,850.20813396584,449.92255948872,33727871.406302
True,0.14078366033318,1022.0482737078,0.00025043631907411,951.91913446747,840.33701038309,10912551.199512
True,0.10715875394805,1455.3974479359,0.00021984760848696,1443.4507752929,1428.0887765421,2666293.854672
