time,T_cond_inner,T_cond_outer,T_evap_inner,T_evap_outer
-30000,800,800,800,800
-29000,800,800,800,800
-28000,800,800,800,800
-27000,800,800,800,800
-26000,800,800,800,800
-25000,800,800,800,800
-24000,800,800,800,800
-23000,800,800,800,800
-22000,800,800,800,800
-21000,800,800,800,800
-20000,800,800,800,800
-19000,800,800,800,800
-18000,800,800,800,800
-17000,800,800,800,800
-16000,800,800,800,800
-15000,800,800,800,800
-14000,800,800,800,800
-13000,800,800,800,800
-12000,800,800,800,800
-11000,800,800,800,800
-10000,800,800,800,800
-9000,800,800,800,800
-8000,800,800,800,800
-7000,800,800,800,800
-6000,800,800,800,800
-5000,800,800,800,800
-4000,800,800,800,800
-3000,800,800,800,800
-2000,800,800,800,800
-1000,800,800,800,800
0,800,800,800,800
