time,dT,max_T,mdot,power,pump,lambda
0,0,0,0,0,0,-4.0670523999477e-14
0.25,94.504575986824,1415.7816394408,18548.806733229,3169105581.086,1,1.6282291836829e-13
0.5,93.386001074924,1412.3197831598,18613.020505589,2991155277.1638,1,2.8360182187433e-13
0.75,92.625450189463,1408.912513866,18672.52576919,3094828585.4564,1,3.169785433266e-13
1,92.439938124522,1405.2132627374,18726.487321224,3049763252.6331,1,1.6703431563826e-13
1.25,92.7250196521,1401.599437261,18775.024141324,3062873647.3827,1,-3.2271845163849e-13
1.5,93.191305325172,1397.9849266966,18818.251117329,3054554610.6126,1,-2.4295944872288e-13
1.75,93.648231827812,1394.4049928711,18856.506242957,3058001111.1421,1,3.4851535679755e-15
2,94.01026494899,1390.8456336333,18890.163265729,3058211254.0423,1,-2.340940900623e-13
2.25,94.211325211182,1387.3637284171,18919.659632665,3061088839.8027,1,-8.0642415716894e-13
2.5,94.289915632103,1384.0556939089,18945.440435316,3063111206.1239,1,-5.6750892061238e-13
2.75,94.281782882639,1381.0846633406,18967.954167624,3065539409.9398,1,-3.9522681213643e-13
3,94.215220089445,1378.6681118634,18987.620863757,3067411107.2138,1,-4.9702479272464e-13
3.25,94.11430180521,1377.0700034127,19004.824273848,3069624028.3033,1,-4.2732584405418e-13
3.5,93.998408170257,1376.5487772202,19019.894591636,3071423143.4879,1,-2.670086389859e-13
3.75,93.88223988904,1377.2893797013,19033.113114565,3073726760.7354,1,-1.7717123560731e-14
4,93.776215674767,1379.3004663157,19044.713077183,3076245672.0876,1,-9.9136968527568e-14
4.25,93.962959058045,1382.1941218114,18490.862224833,3028811466.9489,0.5,7.3451889168517e-13
4.5,94.099320301997,1385.571890198,17993.928612655,3004402276.5107,0.5,2.0731104348291e-13
4.75,94.208308277589,1388.7271079702,17549.670705486,2966300662.3504,0.5,5.1468345198075e-13
5,94.220192199638,1391.0747780848,17153.434499381,2932969424.2559,0.5,4.7715613042754e-13
5.25,94.110334414842,1392.2091603452,16800.414584663,2900949588.4679,0.5,2.4782055235314e-13
5.5,93.927687608255,1391.9984545581,16485.938130292,2872878103.3777,0.5,-1.075281650356e-13
5.75,93.72875188561,1390.5494400627,16205.644681536,2848704212.1166,0.5,-2.7824245237872e-13
6,93.554974635155,1388.1262390223,15955.575799792,2828365287.3673,0.5,-4.3537255988658e-13
6.25,93.461904532862,1385.0522137615,15732.192009182,2811067292.5371,0.5,-3.9461706645009e-13
6.5,93.491408650069,1381.637560675,15532.358851274,2797071665.4911,0.5,-1.4081498126328e-13
6.75,93.627182797249,1378.1237786492,15353.317163806,2785541937.8539,0.5,2.1849218399945e-13
7,93.847000120612,1374.6663591003,15192.640839413,2776494234.9129,0.5,9.6310055167699e-14
